type,name,description,quality,domain_specificity,domain,origin_instance_id,parent_content_hash,scope
role_component,identify-content-gaps-and-inconsistencies,"Identify gaps, errors, or inconsistencies in provided content",100,0,,00000000-0000-7000-8000-000000000001,,task
role_component,classify-claims-by-type,"Extract and classify claims from source material by type: fact, opinion, or theory",100,40,"research,analysis",00000000-0000-7000-8000-000000000001,,task
role_component,evaluate-sources-by-reputation,"Evaluate sources by reputation level, prioritising primary sources over secondary",100,60,"research,analysis",00000000-0000-7000-8000-000000000001,,task
role_component,identify-key-points-from-unstructured-material,Identify the most important points from unstructured source material,100,15,,00000000-0000-7000-8000-000000000001,,task
role_component,propose-explicit-thesis,"Propose an explicit arguable thesis from source material, not just a topic description",100,50,"writing,research",00000000-0000-7000-8000-000000000001,,task
role_component,perform-self-critique,"Perform self-critique on completed work, identifying structural and logical weaknesses before delivering",100,15,,00000000-0000-7000-8000-000000000001,,task
role_component,make-reasoning-explicit,Connect conclusions to the evidence or decisions that produced them,100,0,,00000000-0000-7000-8000-000000000001,,task
role_component,identify-focal-point,Identify the single most important point before structuring output,100,0,,00000000-0000-7000-8000-000000000001,,task
role_component,calibrate-output-density,Calibrate output density and detail level to the audience's context and purpose,100,0,,00000000-0000-7000-8000-000000000001,,task
role_component,eliminate-off-focal-content,Eliminate content that does not advance the focal point of the output,100,0,,00000000-0000-7000-8000-000000000001,,task
role_component,evaluate-from-multiple-perspectives,Evaluate completed output from multiple distinct stakeholder or expert perspectives before delivering,100,15,,00000000-0000-7000-8000-000000000001,,task
role_component,adapt-vocabulary-to-audience,"Adapt vocabulary and register to the audience's professional domain; for dense or jargon-heavy content, proactively restate in plain language accessible to a non-specialist reader",100,0,,00000000-0000-7000-8000-000000000001,,task
role_component,extract-chronological-structure,Extract chronological structure from transcripts or meeting notes,100,40,"analysis,management",00000000-0000-7000-8000-000000000001,,task
role_component,distinguish-substance-from-structure,"Distinguish substantive results (decisions, conclusions) from structural results (frameworks, process insights that emerged)",100,60,"management,strategy",00000000-0000-7000-8000-000000000001,,task
